@T,table
Created,2022-06-26 17:04
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 00:00,-0.0
,2013-12-15 01:00,-0.0
,2013-12-15 02:00,-0.0
,2013-12-15 03:00,-0.0
,2013-12-15 04:00,-0.0
,2013-12-15 05:00,-0.0
,2013-12-15 06:00,-0.0
,2013-12-15 07:00,0.008592073187972529
,2013-12-15 08:00,0.04413765502831404
,2013-12-15 09:00,0.07245836433694358
,2013-12-15 10:00,0.08628191288165236
,2013-12-15 11:00,0.08801790241579652
,2013-12-15 12:00,0.070157057192065
,2013-12-15 13:00,0.0403488439233964
,2013-12-15 14:00,0.0011364833875996813
,2013-12-15 15:00,-0.0
,2013-12-15 16:00,-0.0
,2013-12-15 17:00,-0.0
,2013-12-15 18:00,-0.0
,2013-12-15 19:00,-0.0
,2013-12-15 20:00,-0.0
,2013-12-15 21:00,-0.0
,2013-12-15 22:00,-0.0
,2013-12-15 23:00,-0.0
,2013-12-16 00:00,-0.0
,2013-12-16 01:00,-0.0
,2013-12-16 02:00,-0.0
,2013-12-16 03:00,-0.0
,2013-12-16 04:00,-0.0
,2013-12-16 05:00,-0.0
,2013-12-16 06:00,-0.0
,2013-12-16 07:00,0.007675288685891998
,2013-12-16 08:00,0.03934256467954873
,2013-12-16 09:00,0.06668500456757546
,2013-12-16 10:00,0.08094428066299764
,2013-12-16 11:00,0.08639078456615397
,2013-12-16 12:00,0.07120067216917995
,2013-12-16 13:00,0.04009663808423511
,2013-12-16 14:00,0.0012250229313902454
,2013-12-16 15:00,-0.0
,2013-12-16 16:00,-0.0
,2013-12-16 17:00,-0.0
,2013-12-16 18:00,-0.0
,2013-12-16 19:00,-0.0
,2013-12-16 20:00,-0.0
,2013-12-16 21:00,-0.0
,2013-12-16 22:00,-0.0
,2013-12-16 23:00,-0.0
,2013-12-17 00:00,-0.0
,2013-12-17 01:00,-0.0
,2013-12-17 02:00,-0.0
,2013-12-17 03:00,-0.0
,2013-12-17 04:00,-0.0
,2013-12-17 05:00,-0.0
,2013-12-17 06:00,-0.0
,2013-12-17 07:00,0.007397192347603597
,2013-12-17 08:00,0.04095740164462465
,2013-12-17 09:00,0.07393329701624798
,2013-12-17 10:00,0.08682659318709061
,2013-12-17 11:00,0.0909437099053928
,2013-12-17 12:00,0.07157473360859906
,2013-12-17 13:00,0.04158223023968144
,2013-12-17 14:00,0.0012157691497374455
,2013-12-17 15:00,-0.0
,2013-12-17 16:00,-0.0
,2013-12-17 17:00,-0.0
,2013-12-17 18:00,-0.0
,2013-12-17 19:00,-0.0
,2013-12-17 20:00,-0.0
,2013-12-17 21:00,-0.0
,2013-12-17 22:00,-0.0
,2013-12-17 23:00,-0.0
,2013-12-18 00:00,-0.0
,2013-12-18 01:00,-0.0
,2013-12-18 02:00,-0.0
,2013-12-18 03:00,-0.0
,2013-12-18 04:00,-0.0
,2013-12-18 05:00,-0.0
,2013-12-18 06:00,-0.0
,2013-12-18 07:00,0.0065671340586001
,2013-12-18 08:00,0.03836048101570631
,2013-12-18 09:00,0.07253015753713266
,2013-12-18 10:00,0.09139805542996939
,2013-12-18 11:00,0.09157421939835964
,2013-12-18 12:00,0.07481977335199415
,2013-12-18 13:00,0.043003386985571365
,2013-12-18 14:00,0.0012126388363921988
,2013-12-18 15:00,-0.0
,2013-12-18 16:00,-0.0
,2013-12-18 17:00,-0.0
,2013-12-18 18:00,-0.0
,2013-12-18 19:00,-0.0
,2013-12-18 20:00,-0.0
,2013-12-18 21:00,-0.0
,2013-12-18 22:00,-0.0
,2013-12-18 23:00,-0.0
,2013-12-19 00:00,-0.0
,2013-12-19 01:00,-0.0
,2013-12-19 02:00,-0.0
,2013-12-19 03:00,-0.0
,2013-12-19 04:00,-0.0
,2013-12-19 05:00,-0.0
,2013-12-19 06:00,-0.0
,2013-12-19 07:00,0.00604850651817552
,2013-12-19 08:00,0.03385259511284363
,2013-12-19 09:00,0.06540508754791571
,2013-12-19 10:00,0.08543877047692627
,2013-12-19 11:00,0.08911976244361648
,2013-12-19 12:00,0.0693995373058974
,2013-12-19 13:00,0.042089442194177686
,2013-12-19 14:00,0.0014236409481111372
,2013-12-19 15:00,-0.0
,2013-12-19 16:00,-0.0
,2013-12-19 17:00,-0.0
,2013-12-19 18:00,-0.0
,2013-12-19 19:00,-0.0
,2013-12-19 20:00,-0.0
,2013-12-19 21:00,-0.0
,2013-12-19 22:00,-0.0
,2013-12-19 23:00,-0.0
,2013-12-20 00:00,-0.0
,2013-12-20 01:00,-0.0
,2013-12-20 02:00,-0.0
,2013-12-20 03:00,-0.0
,2013-12-20 04:00,-0.0
,2013-12-20 05:00,-0.0
,2013-12-20 06:00,-0.0
,2013-12-20 07:00,0.006092867160588885
,2013-12-20 08:00,0.0365809883663766
,2013-12-20 09:00,0.06849422448678867
,2013-12-20 10:00,0.08805678074476214
,2013-12-20 11:00,0.09164231398158255
,2013-12-20 12:00,0.07421752319386696
,2013-12-20 13:00,0.04307061605970629
,2013-12-20 14:00,0.0015052368590839028
,2013-12-20 15:00,-0.0
,2013-12-20 16:00,-0.0
,2013-12-20 17:00,-0.0
,2013-12-20 18:00,-0.0
,2013-12-20 19:00,-0.0
,2013-12-20 20:00,-0.0
,2013-12-20 21:00,-0.0
,2013-12-20 22:00,-0.0
,2013-12-20 23:00,-0.0
,2013-12-21 00:00,-0.0
,2013-12-21 01:00,-0.0
,2013-12-21 02:00,-0.0
,2013-12-21 03:00,-0.0
,2013-12-21 04:00,-0.0
,2013-12-21 05:00,-0.0
,2013-12-21 06:00,-0.0
,2013-12-21 07:00,0.006107488043491013
,2013-12-21 08:00,0.038418903447166704
,2013-12-21 09:00,0.06543994396193373
,2013-12-21 10:00,0.08619643485158013
,2013-12-21 11:00,0.08932025021158428
,2013-12-21 12:00,0.07081816743734995
,2013-12-21 13:00,0.042434814328088814
,2013-12-21 14:00,0.0018387573639893821
,2013-12-21 15:00,-0.0
,2013-12-21 16:00,-0.0
,2013-12-21 17:00,-0.0
,2013-12-21 18:00,-0.0
,2013-12-21 19:00,-0.0
