@T,table
Created,2022-06-28 10:19
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 11:00,0.0
,2013-12-15 12:00,54.22003102419919
,2013-12-15 13:00,42.38197133869848
,2013-12-15 14:00,24.742015262997754
,2013-12-15 15:00,7.614876336887055
,2013-12-15 16:00,0.0
,2013-12-15 17:00,0.0
,2013-12-15 18:00,0.0
,2013-12-15 19:00,0.0
,2013-12-15 20:00,0.0
,2013-12-15 21:00,0.0
,2013-12-15 22:00,0.0
,2013-12-15 23:00,0.0
,2013-12-16 00:00,0.0
,2013-12-16 01:00,0.0
,2013-12-16 02:00,0.0
,2013-12-16 03:00,0.0
,2013-12-16 04:00,0.0
,2013-12-16 05:00,0.0
,2013-12-16 06:00,0.0
,2013-12-16 07:00,0.0
,2013-12-16 08:00,0.0
,2013-12-16 09:00,42.72721002371487
,2013-12-16 10:00,53.871884958351075
,2013-12-16 11:00,58.082679675488194
,2013-12-16 12:00,54.44182185436269
,2013-12-16 13:00,42.204662710758065
,2013-12-16 14:00,24.477907649800155
,2013-12-16 15:00,7.365075394674453
,2013-12-16 16:00,0.0
,2013-12-16 17:00,0.0
,2013-12-16 18:00,0.0
,2013-12-16 19:00,0.0
,2013-12-16 20:00,0.0
,2013-12-16 21:00,0.0
,2013-12-16 22:00,0.0
,2013-12-16 23:00,0.0
,2013-12-17 00:00,0.0
,2013-12-17 01:00,0.0
,2013-12-17 02:00,0.0
,2013-12-17 03:00,0.0
,2013-12-17 04:00,0.0
,2013-12-17 05:00,0.0
,2013-12-17 06:00,0.0
,2013-12-17 07:00,0.0
,2013-12-17 08:00,0.0
,2013-12-17 09:00,47.622349393259256
,2013-12-17 10:00,59.8897871990944
,2013-12-17 11:00,62.803987699914124
,2013-12-17 12:00,55.771018366708084
,2013-12-17 13:00,43.783065791027056
,2013-12-17 14:00,25.887762491685187
,2013-12-17 15:00,7.862688997532082
,2013-12-17 16:00,0.0
,2013-12-17 17:00,0.0
,2013-12-17 18:00,0.0
,2013-12-17 19:00,0.0
,2013-12-17 20:00,0.0
,2013-12-17 21:00,0.0
,2013-12-17 22:00,0.0
,2013-12-17 23:00,0.0
,2013-12-18 00:00,0.0
,2013-12-18 01:00,0.0
,2013-12-18 02:00,0.0
,2013-12-18 03:00,0.0
,2013-12-18 04:00,0.0
,2013-12-18 05:00,0.0
,2013-12-18 06:00,0.0
,2013-12-18 07:00,0.0
,2013-12-18 08:00,0.0
,2013-12-18 09:00,45.2301118085062
,2013-12-18 10:00,62.151761462899806
,2013-12-18 11:00,64.53160207937874
,2013-12-18 12:00,58.23030563087469
,2013-12-18 13:00,46.10181160797051
,2013-12-18 14:00,27.295310899077922
,2013-12-18 15:00,8.313808523641463
,2013-12-18 16:00,0.0
,2013-12-18 17:00,0.0
,2013-12-18 18:00,0.0
,2013-12-18 19:00,0.0
,2013-12-18 20:00,0.0
,2013-12-18 21:00,0.0
,2013-12-18 22:00,0.0
,2013-12-18 23:00,0.0
,2013-12-19 00:00,0.0
,2013-12-19 01:00,0.0
,2013-12-19 02:00,0.0
,2013-12-19 03:00,0.0
,2013-12-19 04:00,0.0
,2013-12-19 05:00,0.0
,2013-12-19 06:00,0.0
,2013-12-19 07:00,0.0
,2013-12-19 08:00,0.0
,2013-12-19 09:00,38.70374826382975
,2013-12-19 10:00,55.763106171749136
,2013-12-19 11:00,61.11798209217842
,2013-12-19 12:00,53.60313908929603
,2013-12-19 13:00,43.24635093032134
,2013-12-19 14:00,26.151135622067873
,2013-12-19 15:00,7.963148774541293
,2013-12-19 16:00,0.0
,2013-12-19 17:00,0.0
,2013-12-19 18:00,0.0
,2013-12-19 19:00,0.0
,2013-12-19 20:00,0.0
,2013-12-19 21:00,0.0
,2013-12-19 22:00,0.0
,2013-12-19 23:00,0.0
,2013-12-20 00:00,0.0
,2013-12-20 01:00,0.0
,2013-12-20 02:00,0.0
,2013-12-20 03:00,0.0
,2013-12-20 04:00,0.0
,2013-12-20 05:00,0.0
,2013-12-20 06:00,0.0
,2013-12-20 07:00,0.0
,2013-12-20 08:00,0.0
,2013-12-20 09:00,42.145551172276875
,2013-12-20 10:00,58.55262250996036
,2013-12-20 11:00,63.48146706522104
,2013-12-20 12:00,57.47687913990501
,2013-12-20 13:00,45.34729394917271
,2013-12-20 14:00,26.95337342794191
,2013-12-20 15:00,8.116592356378487
,2013-12-20 16:00,0.0
,2013-12-20 17:00,0.0
,2013-12-20 18:00,0.0
,2013-12-20 19:00,0.0
,2013-12-20 20:00,0.0
,2013-12-20 21:00,0.0
,2013-12-20 22:00,0.0
,2013-12-20 23:00,0.0
,2013-12-21 00:00,0.0
,2013-12-21 01:00,0.0
,2013-12-21 02:00,0.0
,2013-12-21 03:00,0.0
,2013-12-21 04:00,0.0
,2013-12-21 05:00,0.0
,2013-12-21 06:00,0.0
,2013-12-21 07:00,0.0
,2013-12-21 08:00,0.0
,2013-12-21 09:00,41.98789756171113
,2013-12-21 10:00,56.200007961650556
,2013-12-21 11:00,61.32469327166071
,2013-12-21 12:00,54.31229219444491
,2013-12-21 13:00,43.350571522966696
,2013-12-21 14:00,25.101908137273327
,2013-12-21 15:00,7.7790194223564075
,2013-12-21 16:00,0.0
,2013-12-21 17:00,0.0
,2013-12-21 18:00,0.0
,2013-12-21 19:00,0.0
,2013-12-21 20:00,0.0
,2013-12-21 21:00,0.0
,2013-12-21 22:00,0.0
,2013-12-21 23:00,0.0
,2013-12-22 00:00,0.0
,2013-12-22 01:00,0.0
,2013-12-22 02:00,0.0
,2013-12-22 03:00,0.0
,2013-12-22 04:00,0.0
,2013-12-22 05:00,0.0
,2013-12-22 06:00,0.0
,2013-12-22 07:00,0.0
,2013-12-22 08:00,0.0
,2013-12-22 09:00,43.5026332155537
,2013-12-22 10:00,59.53742002382439
,2013-12-22 11:00,63.12072915723382
,2013-12-22 12:00,56.294382439944926
,2013-12-22 13:00,43.508969867623016
,2013-12-22 14:00,24.866457303111925
,2013-12-22 15:00,7.330251486325421
,2013-12-22 16:00,0.0
,2013-12-22 17:00,0.0
,2013-12-22 18:00,0.0
